Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0xc162f6f8323ca2d0eec07480c3cff282a50f12851d4fc67bd5683102068fba9d","Success","Approve","22632779","2025-06-04 17:31:35","0x5d13cba8a2853af97baad363fd977690c8c26419","","0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc","Uniswap V2: USDC","0 ETH","$0.00","0.00022523"
"0x4f7039b7561750f7707ac38c3308fe0b53fc6b9f0f4d0607c7f328f03e6f9f2a","Success","Skim","22626765","2025-06-03 21:18:47","0xd800277119912520b7003c0f5f8e6e59ae9f70d6","","0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc","Uniswap V2: USDC","0 ETH","$0.00","0.00039351"
"0xd433dec940a9ca736c492ff70c15e8787225e0f60a2d7d5b241481c8900c441c","Success","Approve","22623588","2025-06-03 10:40:11","0x9db001f978e60cb4c8263aec301e0760e957b924","","0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc","Uniswap V2: USDC","0 ETH","$0.00","0.00011455"
"0x970289af868b39319e1e6de5c8baef46807b27b89cdbab50f7a2d6f097d50b80","Success","Approve","22623053","2025-06-03 08:51:59","0xd07978a8fdbd392a7fb6f77333b1b1bb88ca1d4b","hritique.eth","0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc","Uniswap V2: USDC","0 ETH","$0.00","0.00007087"
"0x6c122099ecc2b36317a89506d05972fdb9e48baedf9937776a10096c67c76fd8","Success","Approve","22622100","2025-06-03 05:38:59","0x896002e29fe4cda28a3ae139b0bf7bac26b33a8c","dongdo.eth","0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc","Uniswap V2: USDC","0 ETH","$0.00","0.00002393"
"0x66ca7a4c2800b9def5a4e98eedcffa84be1705444479adf50fd1b2b2a7ef6a6b","Success","Approve","22613849","2025-06-02 01:53:59","0xe2c49325b535b9e6327d817c04f47d04fb392ce6","","0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc","Uniswap V2: USDC","0 ETH","$0.00","0.00003101"
"0x08e1dc294b3ccce8ee1576354104fd0584d3bc11b72a59d8b2c1f33472e6ca6a","Success","Approve","22609289","2025-06-01 10:34:47","0xccefa6cc02eef6334ade9439d539eee9997a9c37","raginggooner.eth","0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc","Uniswap V2: USDC","0 ETH","$0.00","0.00003713"
"0xfd7cb7e8cd9f15e477810152fe764a0e074d142425bc7c899c99caf84bf0cc36","Success","Approve","22608682","2025-06-01 08:32:23","0x0863b4b79d561d328e96c7b5b78c8c884f0dead4","","0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc","Uniswap V2: USDC","0 ETH","$0.00","0.00012617"
"0x4044f8337c19f6a364c87d6f8b9f73c7ec141cd6e136daa157a1ca7e55ffd04c","Success","Transfer","22606148","2025-06-01 00:01:23","0x112e2ad96b85664914bf4da27048b96c2fa9c252","","0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc","Uniswap V2: USDC","0 ETH","$0.00","0.00004354"
"0xc5f2b2fcb3ec29d91f27c37a623a7e631392abb1fd90f6c45e307bdd63924529","Success","Transfer","22606101","2025-05-31 23:51:47","0xaebfa40a5c510aedd4b24d952ec13125d5aefc00","","0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc","Uniswap V2: USDC","0 ETH","$0.00","0.00004925"
"0x9334dc95f66ef2862f0be32043802250de2b39eefb4c876534c0103b11acb88f","Success","Approve","22603450","2025-05-31 14:58:11","0x7e8c75cbbda97adb628cbfade021d0d51038d155","","0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc","Uniswap V2: USDC","0 ETH","$0.00","0.00010645"
"0x5c4ae3496b0b010339dc2fe4bb9536d990430afbf788c007d02d7d10a9bbd138","Success","Approve","22601364","2025-05-31 07:56:59","0x5802aaf121fb77530d8190cbcbda4ac8451c47aa","kris1.eth","0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc","Uniswap V2: USDC","0 ETH","$0.00","0.00002815"
"0x65232bf8e78e4f99bcb91376c008d0030b70810c58cc4cc2e956745810fd4a39","Success","Approve","22601361","2025-05-31 07:56:23","0x5802aaf121fb77530d8190cbcbda4ac8451c47aa","kris1.eth","0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc","Uniswap V2: USDC","0 ETH","$0.00","0.00002874"
"0xd21a200498790d810653ec81dbd32f56efd66ad27d8372122d192cd3be003346","Success","Approve","22593501","2025-05-30 05:35:23","0x46a4bfb5123e5849bee532d08aa013f132dd8ddb","","0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc","Uniswap V2: USDC","0 ETH","$0.00","0.00008875"
"0xdb45d36cfed65e983cac1886ed848bed43afb011b97df83789f8e34ff2503493","Success","Approve","22575969","2025-05-27 18:39:47","0x9b138b53d7897525ee536d6b07c00e813be57fc6","","0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc","Uniswap V2: USDC","0 ETH","$0.00","0.00027106"
"0x78292cc9853bb6762242071e2314ae7f1b4b99918a7f590ecd542562a0014a50","Success","Approve","22573898","2025-05-27 11:43:47","0x025bd772b4eb46bdbc9c35ec452ec01a8c9197e2","","0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc","Uniswap V2: USDC","0 ETH","$0.00","0.00015844"
"0x23fb10ea00246de0eddfd5120cca6dc2bacdc2fe5648c76ae82fe577da82c75a","Success","Approve","22561013","2025-05-25 16:25:47","0x190fb3b4118e5633820184fe9217049a88f07fcf","maximus335.eth","0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc","Uniswap V2: USDC","0 ETH","$0.00","0.00004023"
"0x7ff2ecf54bf3c40a7f97c997bec950eefff2d8991537644d1e5f39ed5bc3268d","Success","Approve","22557552","2025-05-25 04:46:35","0x21485722f25399f2190366bcb8b5d44589a8c8a8","","0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc","Uniswap V2: USDC","0 ETH","$0.00","0.00002044"
"0x6d101808afbd33f7dd2a9c7b7b7e27118d52c497693f5c3cb207c15aeb5789b1","Success","Approve","22553979","2025-05-24 16:45:59","0x254c489383994ce62c012ffa2d9ab858c416d55f","qlool.eth","0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc","Uniswap V2: USDC","0 ETH","$0.00","0.00002451"
"0x4108e2fe9ead5d551c107f98bfa5601d590f03bf74d54c546f5a8a91e64d7992","Success","Approve","22553011","2025-05-24 13:30:47","0x2e4ccf4f1f58edce8ab75fbb23e6d5f76ee080f9","ultimatebravery.eth","0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc","Uniswap V2: USDC","0 ETH","$0.00","0.0000375"
"0x52c2999f82c1d5f3faeada7255febf0e62ab6689e72f12a2ec00463fd032af2f","Success","Approve","22551353","2025-05-24 07:56:23","0x3eeb5e43bcb9ed151a13a2cfb584a171dcb1aeba","","0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc","Uniswap V2: USDC","0 ETH","$0.00","0.0001132"
"0x393e3e80afe87d487bf777bb630445949c4b4e6527da5c3c6d66476faabfcd96","Error in Main Txn : execution reverted","0x68747470","22548517","2025-05-23 22:23:35","0x290ca4da2c963dea5ae736469a5b8a53d64d4e6a","hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid.eth","0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc","Uniswap V2: USDC","0 ETH","$0.00","0.00005296"
"0xc6a47af194d1ba73ed50e5dc3be6fc372c05ae8d851c1389b0b50df3e8010d72","Error in Main Txn : execution reverted","0x68747470","22548437","2025-05-23 22:07:35","0x290ca4da2c963dea5ae736469a5b8a53d64d4e6a","hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid.eth","0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc","Uniswap V2: USDC","0 ETH","$0.00","0.00005296"
"0x04a60d6f8322af9c865877e2bf72d987ef496e2b75ee53eeabfdd0392063d515","Error in Main Txn : execution reverted","0x68747470","22548144","2025-05-23 21:08:11","0x290ca4da2c963dea5ae736469a5b8a53d64d4e6a","hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid.eth","0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc","Uniswap V2: USDC","0 ETH","$0.00","0.00005296"
"0x3c973a3efcd45921cd578b4e488020c4faf7c9b93ad48abf82744b2c28619bf5","Error in Main Txn : execution reverted","0x68747470","22548071","2025-05-23 20:53:11","0x290ca4da2c963dea5ae736469a5b8a53d64d4e6a","hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid-hyperliquid.eth","0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc","Uniswap V2: USDC","0 ETH","$0.00","0.00005296"